Program to calculate energy of water
Input NAME of configuration file : 
Number of molecules 100000
Thread 1 evaluated 42583 pairs
Thread 6 evaluated 44221 pairs
Thread 9 evaluated 49234 pairs
Thread 5 evaluated 47683 pairs
Thread 10 evaluated 40850 pairs
Thread 11 evaluated 92480 pairs
Thread 7 evaluated 53360 pairs
Thread 4 evaluated 46013 pairs
Thread 8 evaluated 88837 pairs
Thread 0 evaluated 51283 pairs
Thread 1 evaluated 42582 pairs
Thread 6 evaluated 44220 pairs
Thread 2 evaluated 96889 pairs
Thread 10 evaluated 40849 pairs
Thread 9 evaluated 49233 pairs
Thread 5 evaluated 47682 pairs
Thread 7 evaluated 53359 pairs
Thread 4 evaluated 46012 pairs
Thread 3 evaluated 84662 pairs
Thread 1 evaluated 42581 pairs
Thread 10 evaluated 40848 pairs
Thread 0 evaluated 51282 pairs
Thread 6 evaluated 44219 pairs
Thread 9 evaluated 49232 pairs
Thread 5 evaluated 47681 pairs
Thread 11 evaluated 92479 pairs
Thread 8 evaluated 88836 pairs
Thread 1 evaluated 42580 pairs
Thread 4 evaluated 46011 pairs
Thread 7 evaluated 53358 pairs
Thread 10 evaluated 40847 pairs
Thread 6 evaluated 44218 pairs
Thread 2 evaluated 96888 pairs
Thread 0 evaluated 51281 pairs
Thread 5 evaluated 47680 pairs
Thread 9 evaluated 49231 pairs
Thread 1 evaluated 42579 pairs
Thread 3 evaluated 84661 pairs
Thread 4 evaluated 46010 pairs
Thread 10 evaluated 40846 pairs
Thread 7 evaluated 53357 pairs
Thread 6 evaluated 44217 pairs
Thread 5 evaluated 47679 pairs
Thread 9 evaluated 49230 pairs
Thread 0 evaluated 51280 pairs
Thread 11 evaluated 92478 pairs
Thread 1 evaluated 42578 pairs
Thread 10 evaluated 40845 pairs
Thread 8 evaluated 88835 pairs
Thread 4 evaluated 46009 pairs
Thread 6 evaluated 44216 pairs
Thread 7 evaluated 53356 pairs
Thread 2 evaluated 96887 pairs
Thread 5 evaluated 47678 pairs
Thread 1 evaluated 42577 pairs
Thread 9 evaluated 49229 pairs
Thread 0 evaluated 51279 pairs
Thread 10 evaluated 40844 pairs
Thread 3 evaluated 84660 pairs
Thread 6 evaluated 44215 pairs
Thread 4 evaluated 46008 pairs
Thread 7 evaluated 53355 pairs
Thread 1 evaluated 42576 pairs
Thread 11 evaluated 92477 pairs
Thread 5 evaluated 47677 pairs
Thread 10 evaluated 40843 pairs
Thread 9 evaluated 49228 pairs
Thread 0 evaluated 51278 pairs
Thread 8 evaluated 88834 pairs
Thread 6 evaluated 44214 pairs
Thread 4 evaluated 46007 pairs
Thread 1 evaluated 42575 pairs
Thread 2 evaluated 96886 pairs
Thread 7 evaluated 53354 pairs
Thread 10 evaluated 40842 pairs
Thread 5 evaluated 47676 pairs
Thread 9 evaluated 49227 pairs
Thread 3 evaluated 84659 pairs
Thread 6 evaluated 44213 pairs
Thread 0 evaluated 51277 pairs
Thread 4 evaluated 46006 pairs
Thread 1 evaluated 42574 pairs
Thread 10 evaluated 40841 pairs
Thread 11 evaluated 92476 pairs
Thread 7 evaluated 53353 pairs
Thread 5 evaluated 47675 pairs
Thread 9 evaluated 49226 pairs
Thread 6 evaluated 44212 pairs
Thread 8 evaluated 88833 pairs
Thread 0 evaluated 51276 pairs
Thread 1 evaluated 42573 pairs
Thread 4 evaluated 46005 pairs
Thread 10 evaluated 40840 pairs
Thread 2 evaluated 96885 pairs
Thread 5 evaluated 47674 pairs
Thread 3 evaluated 84658 pairs
Thread 7 evaluated 53352 pairs
Thread 6 evaluated 44211 pairs
Thread 9 evaluated 49225 pairs
Thread 1 evaluated 42572 pairs
Thread 10 evaluated 40839 pairs
Thread 4 evaluated 46004 pairs
Thread 0 evaluated 51275 pairs
Thread 11 evaluated 92475 pairs
Thread 5 evaluated 47673 pairs
Thread 6 evaluated 44210 pairs
Thread 9 evaluated 49224 pairs
Thread 7 evaluated 53351 pairs
Thread 8 evaluated 88832 pairs
Thread 1 evaluated 42571 pairs
Thread 10 evaluated 40838 pairs
Thread 4 evaluated 46003 pairs
Thread 2 evaluated 96884 pairs
Thread 0 evaluated 51274 pairs
Thread 3 evaluated 84657 pairs
Thread 5 evaluated 47672 pairs
Thread 6 evaluated 44209 pairs
Thread 9 evaluated 49223 pairs
Thread 10 evaluated 40837 pairs
Thread 1 evaluated 42570 pairs
Thread 7 evaluated 53350 pairs
Thread 11 evaluated 92474 pairs
Thread 4 evaluated 46002 pairs
Thread 6 evaluated 44208 pairs
Thread 5 evaluated 47671 pairs
Thread 0 evaluated 51273 pairs
Thread 10 evaluated 40836 pairs
Thread 1 evaluated 42569 pairs
Thread 9 evaluated 49222 pairs
Thread 8 evaluated 88831 pairs
Thread 7 evaluated 53349 pairs
Thread 4 evaluated 46001 pairs
Thread 6 evaluated 44207 pairs
Thread 3 evaluated 84656 pairs
Thread 2 evaluated 96883 pairs
Thread 5 evaluated 47670 pairs
Thread 10 evaluated 40835 pairs
Thread 1 evaluated 42568 pairs
Thread 0 evaluated 51272 pairs
Thread 9 evaluated 49221 pairs
Thread 7 evaluated 53348 pairs
Thread 11 evaluated 92473 pairs
Thread 6 evaluated 44206 pairs
Thread 4 evaluated 46000 pairs
Thread 10 evaluated 40834 pairs
Thread 1 evaluated 42567 pairs
Thread 5 evaluated 47669 pairs
Thread 9 evaluated 49220 pairs
Thread 8 evaluated 88830 pairs
Thread 0 evaluated 51271 pairs
Thread 6 evaluated 44205 pairs
Thread 7 evaluated 53347 pairs
Thread 3 evaluated 84655 pairs
Thread 10 evaluated 40833 pairs
Thread 1 evaluated 42566 pairs
Thread 4 evaluated 45999 pairs
Thread 2 evaluated 96882 pairs
Thread 5 evaluated 47668 pairs
Thread 9 evaluated 49219 pairs
Thread 0 evaluated 51270 pairs
Thread 11 evaluated 92472 pairs
Thread 6 evaluated 44204 pairs
Thread 10 evaluated 40832 pairs
Thread 1 evaluated 42565 pairs
Thread 7 evaluated 53346 pairs
Thread 4 evaluated 45998 pairs
Thread 5 evaluated 47667 pairs
Thread 8 evaluated 88829 pairs
Thread 9 evaluated 49218 pairs
Thread 10 evaluated 40831 pairs
Thread 6 evaluated 44203 pairs
Thread 1 evaluated 42564 pairs
Thread 3 evaluated 84654 pairs
Thread 0 evaluated 51269 pairs
Thread 2 evaluated 96881 pairs
Thread 7 evaluated 53345 pairs
Thread 5 evaluated 47666 pairs
Thread 4 evaluated 45997 pairs
Thread 10 evaluated 40830 pairs
Thread 9 evaluated 49217 pairs
Thread 6 evaluated 44202 pairs
Thread 11 evaluated 92471 pairs
Thread 1 evaluated 42563 pairs
Thread 0 evaluated 51268 pairs
Thread 5 evaluated 47665 pairs
Thread 4 evaluated 45996 pairs
Thread 7 evaluated 53344 pairs
Thread 10 evaluated 40829 pairs
Thread 8 evaluated 88828 pairs
Thread 6 evaluated 44201 pairs
Thread 1 evaluated 42562 pairs
Thread 9 evaluated 49216 pairs
Thread 3 evaluated 84653 pairs
Thread 2 evaluated 96880 pairs
Thread 5 evaluated 47664 pairs
Thread 0 evaluated 51267 pairs
Thread 4 evaluated 45995 pairs
Thread 10 evaluated 40828 pairs
Thread 7 evaluated 53343 pairs
Thread 6 evaluated 44200 pairs
Thread 1 evaluated 42561 pairs
Thread 11 evaluated 92470 pairs
Thread 9 evaluated 49215 pairs
Thread 5 evaluated 47663 pairs
Thread 10 evaluated 40827 pairs
Thread 4 evaluated 45994 pairs
Thread 0 evaluated 51266 pairs
Thread 1 evaluated 42560 pairs
Thread 6 evaluated 44199 pairs
Thread 7 evaluated 53342 pairs
Thread 8 evaluated 88827 pairs
Thread 3 evaluated 84652 pairs
Thread 9 evaluated 49214 pairs
Thread 10 evaluated 40826 pairs
Thread 2 evaluated 96879 pairs
Thread 5 evaluated 47662 pairs
Thread 1 evaluated 42559 pairs
Thread 4 evaluated 45993 pairs
Thread 6 evaluated 44198 pairs
Thread 0 evaluated 51265 pairs
Thread 11 evaluated 92469 pairs
Thread 7 evaluated 53341 pairs
Thread 9 evaluated 49213 pairs
Thread 10 evaluated 40825 pairs
Thread 5 evaluated 47661 pairs
Thread 1 evaluated 42558 pairs
Thread 6 evaluated 44197 pairs
Thread 4 evaluated 45992 pairs
Thread 8 evaluated 88826 pairs
Thread 3 evaluated 84651 pairs
Thread 0 evaluated 51264 pairs
Thread 10 evaluated 40824 pairs
Thread 7 evaluated 53340 pairs
Thread 9 evaluated 49212 pairs
Thread 1 evaluated 42557 pairs
Thread 6 evaluated 44196 pairs
Thread 5 evaluated 47660 pairs
Thread 2 evaluated 96878 pairs
Thread 4 evaluated 45991 pairs
Thread 11 evaluated 92468 pairs
Thread 10 evaluated 40823 pairs
Thread 0 evaluated 51263 pairs
Thread 9 evaluated 49211 pairs
Thread 7 evaluated 53339 pairs
Thread 1 evaluated 42556 pairs
Thread 6 evaluated 44195 pairs
Thread 5 evaluated 47659 pairs
Thread 4 evaluated 45990 pairs
Thread 3 evaluated 84650 pairs
Thread 10 evaluated 40822 pairs
Thread 8 evaluated 88825 pairs
Thread 9 evaluated 49210 pairs
Thread 1 evaluated 42555 pairs
Thread 0 evaluated 51262 pairs
Thread 7 evaluated 53338 pairs
Thread 6 evaluated 44194 pairs
Thread 5 evaluated 47658 pairs
Thread 2 evaluated 96877 pairs
Thread 11 evaluated 92467 pairs
Thread 10 evaluated 40821 pairs
Thread 4 evaluated 45989 pairs
Thread 1 evaluated 42554 pairs
Thread 9 evaluated 49209 pairs
Thread 6 evaluated 44193 pairs
Thread 0 evaluated 51261 pairs
Thread 7 evaluated 53337 pairs
Thread 5 evaluated 47657 pairs
Thread 10 evaluated 40820 pairs
Thread 3 evaluated 84649 pairs
Thread 8 evaluated 88824 pairs
Thread 4 evaluated 45988 pairs
Thread 1 evaluated 42553 pairs
Thread 6 evaluated 44192 pairs
Thread 9 evaluated 49208 pairs
Thread 10 evaluated 40819 pairs
Thread 5 evaluated 47656 pairs
Thread 0 evaluated 51260 pairs
Thread 2 evaluated 96876 pairs
Thread 7 evaluated 53336 pairs
Thread 11 evaluated 92466 pairs
Thread 1 evaluated 42552 pairs
Thread 4 evaluated 45987 pairs
Thread 6 evaluated 44191 pairs
Thread 9 evaluated 49207 pairs
Thread 10 evaluated 40818 pairs
Thread 5 evaluated 47655 pairs
Thread 3 evaluated 84648 pairs
Thread 7 evaluated 53335 pairs
Thread 0 evaluated 51259 pairs
Thread 1 evaluated 42551 pairs
Thread 8 evaluated 88823 pairs
Thread 4 evaluated 45986 pairs
Thread 6 evaluated 44190 pairs
Thread 10 evaluated 40817 pairs
Thread 9 evaluated 49206 pairs
Thread 11 evaluated 92465 pairs
Thread 5 evaluated 47654 pairs
Thread 2 evaluated 96875 pairs
Thread 1 evaluated 42550 pairs
Thread 7 evaluated 53334 pairs
Thread 0 evaluated 51258 pairs
Thread 6 evaluated 44189 pairs
Thread 4 evaluated 45985 pairs
Thread 10 evaluated 40816 pairs
Thread 9 evaluated 49205 pairs
Thread 3 evaluated 84647 pairs
Thread 1 evaluated 42549 pairs
Thread 5 evaluated 47653 pairs
Thread 8 evaluated 88822 pairs
Thread 6 evaluated 44188 pairs
Thread 10 evaluated 40815 pairs
Thread 7 evaluated 53333 pairs
Thread 0 evaluated 51257 pairs
Thread 4 evaluated 45984 pairs
Thread 9 evaluated 49204 pairs
Thread 1 evaluated 42548 pairs
Thread 11 evaluated 92464 pairs
Thread 5 evaluated 47652 pairs
Thread 2 evaluated 96874 pairs
Thread 10 evaluated 40814 pairs
Thread 6 evaluated 44187 pairs
Thread 7 evaluated 53332 pairs
Thread 4 evaluated 45983 pairs
Thread 0 evaluated 51256 pairs
Thread 1 evaluated 42547 pairs
Thread 9 evaluated 49203 pairs
Thread 3 evaluated 84646 pairs
Thread 5 evaluated 47651 pairs
Thread 10 evaluated 40813 pairs
Thread 6 evaluated 44186 pairs
Thread 8 evaluated 88821 pairs
Thread 7 evaluated 53331 pairs
Thread 4 evaluated 45982 pairs
Thread 1 evaluated 42546 pairs
Thread 0 evaluated 51255 pairs
Thread 11 evaluated 92463 pairs
Thread 9 evaluated 49202 pairs
Thread 10 evaluated 40812 pairs
Thread 5 evaluated 47650 pairs
Thread 2 evaluated 96873 pairs
Thread 6 evaluated 44185 pairs
Thread 1 evaluated 42545 pairs
Thread 4 evaluated 45981 pairs
Thread 7 evaluated 53330 pairs
Thread 3 evaluated 84645 pairs
Thread 10 evaluated 40811 pairs
Thread 9 evaluated 49201 pairs
Thread 0 evaluated 51254 pairs
Thread 5 evaluated 47649 pairs
Thread 6 evaluated 44184 pairs
Thread 8 evaluated 88820 pairs
Thread 1 evaluated 42544 pairs
Thread 10 evaluated 40810 pairs
Thread 4 evaluated 45980 pairs
Thread 11 evaluated 92462 pairs
Thread 7 evaluated 53329 pairs
Thread 9 evaluated 49200 pairs
Thread 5 evaluated 47648 pairs
Thread 2 evaluated 96872 pairs
Thread 6 evaluated 44183 pairs
Thread 0 evaluated 51253 pairs
Thread 1 evaluated 42543 pairs
Thread 10 evaluated 40809 pairs
Thread 3 evaluated 84644 pairs
Thread 4 evaluated 45979 pairs
Thread 7 evaluated 53328 pairs
Thread 9 evaluated 49199 pairs
Thread 6 evaluated 44182 pairs
Thread 5 evaluated 47647 pairs
Thread 1 evaluated 42542 pairs
Thread 0 evaluated 51252 pairs
Thread 8 evaluated 88819 pairs
Thread 10 evaluated 40808 pairs
Thread 11 evaluated 92461 pairs
Thread 4 evaluated 45978 pairs
Thread 6 evaluated 44181 pairs
Thread 5 evaluated 47646 pairs
Thread 9 evaluated 49198 pairs
Thread 2 evaluated 96871 pairs
Thread 7 evaluated 53327 pairs
Thread 1 evaluated 42541 pairs
Thread 10 evaluated 40807 pairs
Thread 0 evaluated 51251 pairs
Thread 3 evaluated 84643 pairs
Thread 4 evaluated 45977 pairs
Thread 6 evaluated 44180 pairs
Thread 1 evaluated 42540 pairs
Thread 5 evaluated 47645 pairs
Thread 9 evaluated 49197 pairs
Thread 10 evaluated 40806 pairs
Thread 7 evaluated 53326 pairs
Thread 8 evaluated 88818 pairs
Thread 0 evaluated 51250 pairs
Thread 11 evaluated 92460 pairs
Thread 6 evaluated 44179 pairs
Thread 4 evaluated 45976 pairs
Thread 1 evaluated 42539 pairs
Thread 5 evaluated 47644 pairs
Thread 10 evaluated 40805 pairs
Thread 2 evaluated 96870 pairs
Thread 9 evaluated 49196 pairs
Thread 7 evaluated 53325 pairs
Thread 3 evaluated 84642 pairs
Thread 0 evaluated 51249 pairs
Thread 6 evaluated 44178 pairs
Thread 1 evaluated 42538 pairs
Thread 10 evaluated 40804 pairs
Thread 4 evaluated 45975 pairs
Thread 5 evaluated 47643 pairs
Thread 9 evaluated 49195 pairs
Thread 8 evaluated 88817 pairs
Thread 7 evaluated 53324 pairs
Thread 11 evaluated 92459 pairs
Thread 1 evaluated 42537 pairs
Thread 6 evaluated 44177 pairs
Thread 10 evaluated 40803 pairs
Thread 0 evaluated 51248 pairs
Thread 4 evaluated 45974 pairs
Thread 5 evaluated 47642 pairs
Thread 2 evaluated 96869 pairs
Thread 9 evaluated 49194 pairs
Thread 3 evaluated 84641 pairs
Thread 1 evaluated 42536 pairs
Thread 7 evaluated 53323 pairs
Thread 10 evaluated 40802 pairs
Thread 6 evaluated 44176 pairs
Thread 0 evaluated 51247 pairs
Thread 4 evaluated 45973 pairs
Thread 5 evaluated 47641 pairs
Thread 8 evaluated 88816 pairs
Thread 9 evaluated 49193 pairs
Thread 11 evaluated 92458 pairs
Thread 1 evaluated 42535 pairs
Thread 10 evaluated 40801 pairs
Thread 6 evaluated 44175 pairs
Thread 7 evaluated 53322 pairs
Thread 5 evaluated 47640 pairs
Thread 4 evaluated 45972 pairs
Thread 0 evaluated 51246 pairs
Thread 2 evaluated 96868 pairs
Thread 3 evaluated 84640 pairs
Thread 10 evaluated 40800 pairs
Thread 9 evaluated 49192 pairs
Thread 1 evaluated 42534 pairs
Thread 6 evaluated 44174 pairs
Thread 7 evaluated 53321 pairs
Thread 5 evaluated 47639 pairs
Thread 4 evaluated 45971 pairs
Thread 10 evaluated 40799 pairs
Thread 1 evaluated 42533 pairs
Thread 0 evaluated 51245 pairs
Thread 8 evaluated 88815 pairs
Thread 11 evaluated 92457 pairs
Thread 9 evaluated 49191 pairs
Thread 6 evaluated 44173 pairs
Thread 7 evaluated 53320 pairs
Thread 5 evaluated 47638 pairs
Thread 10 evaluated 40798 pairs
Thread 1 evaluated 42532 pairs
Thread 2 evaluated 96867 pairs
Thread 4 evaluated 45970 pairs
Thread 3 evaluated 84639 pairs
Thread 6 evaluated 44172 pairs
Thread 0 evaluated 51244 pairs
Thread 9 evaluated 49190 pairs
Thread 10 evaluated 40797 pairs
Thread 1 evaluated 42531 pairs
Thread 7 evaluated 53319 pairs
Thread 5 evaluated 47637 pairs
Thread 4 evaluated 45969 pairs
Thread 8 evaluated 88814 pairs
Thread 11 evaluated 92456 pairs
Thread 6 evaluated 44171 pairs
Thread 9 evaluated 49189 pairs
Thread 0 evaluated 51243 pairs
Thread 10 evaluated 40796 pairs
Thread 1 evaluated 42530 pairs
Thread 5 evaluated 47636 pairs
Thread 3 evaluated 84638 pairs
Thread 7 evaluated 53318 pairs
Thread 2 evaluated 96866 pairs
Thread 4 evaluated 45968 pairs
Thread 6 evaluated 44170 pairs
Thread 9 evaluated 49188 pairs
Thread 10 evaluated 40795 pairs
Thread 0 evaluated 51242 pairs
Thread 1 evaluated 42529 pairs
Thread 5 evaluated 47635 pairs
Thread 6 evaluated 44169 pairs
Thread 11 evaluated 92455 pairs
Thread 7 evaluated 53317 pairs
Thread 4 evaluated 45967 pairs
Thread 8 evaluated 88813 pairs
Thread 10 evaluated 40794 pairs
Thread 9 evaluated 49187 pairs
Thread 1 evaluated 42528 pairs
Thread 0 evaluated 51241 pairs
Thread 3 evaluated 84637 pairs
Thread 5 evaluated 47634 pairs
Thread 6 evaluated 44168 pairs
Thread 2 evaluated 96865 pairs
Thread 4 evaluated 45966 pairs
Thread 7 evaluated 53316 pairs
Thread 10 evaluated 40793 pairs
Thread 1 evaluated 42527 pairs
Thread 9 evaluated 49186 pairs
Thread 0 evaluated 51240 pairs
Thread 5 evaluated 47633 pairs
Thread 6 evaluated 44167 pairs
Thread 11 evaluated 92454 pairs
Thread 10 evaluated 40792 pairs
Thread 8 evaluated 88812 pairs
Thread 4 evaluated 45965 pairs
Thread 1 evaluated 42526 pairs
Thread 7 evaluated 53315 pairs
Thread 9 evaluated 49185 pairs
Thread 3 evaluated 84636 pairs
Thread 5 evaluated 47632 pairs
Thread 6 evaluated 44166 pairs
Thread 10 evaluated 40791 pairs
Thread 0 evaluated 51239 pairs
Thread 2 evaluated 96864 pairs
Thread 1 evaluated 42525 pairs
Thread 4 evaluated 45964 pairs
Thread 7 evaluated 53314 pairs
Thread 9 evaluated 49184 pairs
Thread 6 evaluated 44165 pairs
Thread 5 evaluated 47631 pairs
Thread 10 evaluated 40790 pairs
Thread 11 evaluated 92453 pairs
Thread 1 evaluated 42524 pairs
Thread 0 evaluated 51238 pairs
Thread 8 evaluated 88811 pairs
Thread 4 evaluated 45963 pairs
Thread 7 evaluated 53313 pairs
Thread 9 evaluated 49183 pairs
Thread 3 evaluated 84635 pairs
Thread 10 evaluated 40789 pairs
Thread 6 evaluated 44164 pairs
Thread 5 evaluated 47630 pairs
Thread 1 evaluated 42523 pairs
Thread 2 evaluated 96863 pairs
Thread 0 evaluated 51237 pairs
Thread 4 evaluated 45962 pairs
Thread 10 evaluated 40788 pairs
Thread 9 evaluated 49182 pairs
Thread 6 evaluated 44163 pairs
Thread 7 evaluated 53312 pairs
Thread 11 evaluated 92452 pairs
Thread 1 evaluated 42522 pairs
Thread 5 evaluated 47629 pairs
Thread 8 evaluated 88810 pairs
Thread 4 evaluated 45961 pairs
Thread 0 evaluated 51236 pairs
Thread 10 evaluated 40787 pairs
Thread 3 evaluated 84634 pairs
Thread 6 evaluated 44162 pairs
Thread 9 evaluated 49181 pairs
Thread 1 evaluated 42521 pairs
Thread 7 evaluated 53311 pairs
Thread 5 evaluated 47628 pairs
Thread 2 evaluated 96862 pairs
Thread 10 evaluated 40786 pairs
Thread 4 evaluated 45960 pairs
Thread 6 evaluated 44161 pairs
Thread 0 evaluated 51235 pairs
Thread 1 evaluated 42520 pairs
Thread 11 evaluated 92451 pairs
Thread 9 evaluated 49180 pairs
Thread 5 evaluated 47627 pairs
Thread 7 evaluated 53310 pairs
Thread 8 evaluated 88809 pairs
Thread 10 evaluated 40785 pairs
Thread 4 evaluated 45959 pairs
Thread 6 evaluated 44160 pairs
Thread 1 evaluated 42519 pairs
Thread 3 evaluated 84633 pairs
Thread 0 evaluated 51234 pairs
Thread 9 evaluated 49179 pairs
Thread 5 evaluated 47626 pairs
Thread 10 evaluated 40784 pairs
Thread 2 evaluated 96861 pairs
Thread 7 evaluated 53309 pairs
Thread 1 evaluated 42518 pairs
Thread 6 evaluated 44159 pairs
Thread 4 evaluated 45958 pairs
Thread 11 evaluated 92450 pairs
Thread 9 evaluated 49178 pairs
Thread 5 evaluated 47625 pairs
Thread 0 evaluated 51233 pairs
Thread 10 evaluated 40783 pairs
Thread 8 evaluated 88808 pairs
Thread 7 evaluated 53308 pairs
Thread 1 evaluated 42517 pairs
Thread 6 evaluated 44158 pairs
Thread 3 evaluated 84632 pairs
Thread 4 evaluated 45957 pairs
Thread 10 evaluated 40782 pairs
Thread 5 evaluated 47624 pairs
Thread 9 evaluated 49177 pairs
Thread 0 evaluated 51232 pairs
Thread 2 evaluated 96860 pairs
Thread 1 evaluated 42516 pairs
Thread 6 evaluated 44157 pairs
Thread 7 evaluated 53307 pairs
Thread 4 evaluated 45956 pairs
Thread 11 evaluated 92449 pairs
Thread 10 evaluated 40781 pairs
Thread 5 evaluated 47623 pairs
Thread 9 evaluated 49176 pairs
Thread 1 evaluated 42515 pairs
Thread 8 evaluated 88807 pairs
Thread 0 evaluated 51231 pairs
Thread 6 evaluated 44156 pairs
Thread 3 evaluated 84631 pairs
Thread 7 evaluated 53306 pairs
Thread 10 evaluated 40780 pairs
Thread 4 evaluated 45955 pairs
Thread 5 evaluated 47622 pairs
Thread 9 evaluated 49175 pairs
Thread 1 evaluated 42514 pairs
Thread 2 evaluated 96859 pairs
Thread 6 evaluated 44155 pairs
Thread 0 evaluated 51230 pairs
Thread 10 evaluated 40779 pairs
Thread 11 evaluated 92448 pairs
Thread 7 evaluated 53305 pairs
Thread 4 evaluated 45954 pairs
Thread 5 evaluated 47621 pairs
Thread 1 evaluated 42513 pairs
Thread 9 evaluated 49174 pairs
Thread 6 evaluated 44154 pairs
Thread 8 evaluated 88806 pairs
Thread 3 evaluated 84630 pairs
Thread 10 evaluated 40778 pairs
Thread 0 evaluated 51229 pairs
Thread 7 evaluated 53304 pairs
Thread 4 evaluated 45953 pairs
Thread 1 evaluated 42512 pairs
Thread 5 evaluated 47620 pairs
Thread 6 evaluated 44153 pairs
Thread 9 evaluated 49173 pairs
Thread 10 evaluated 40777 pairs
Thread 2 evaluated 96858 pairs
Thread 11 evaluated 92447 pairs
Thread 0 evaluated 51228 pairs
Thread 4 evaluated 45952 pairs
Thread 1 evaluated 42511 pairs
Thread 7 evaluated 53303 pairs
Thread 5 evaluated 47619 pairs
Thread 10 evaluated 40776 pairs
Thread 6 evaluated 44152 pairs
Thread 9 evaluated 49172 pairs
Thread 3 evaluated 84629 pairs
Thread 8 evaluated 88805 pairs
Thread 1 evaluated 42510 pairs
Thread 0 evaluated 51227 pairs
Thread 4 evaluated 45951 pairs
Thread 10 evaluated 40775 pairs
Thread 7 evaluated 53302 pairs
Thread 5 evaluated 47618 pairs
Thread 6 evaluated 44151 pairs
Thread 2 evaluated 96857 pairs
Thread 9 evaluated 49171 pairs
Thread 11 evaluated 92446 pairs
Thread 1 evaluated 42509 pairs
Thread 10 evaluated 40774 pairs
Thread 4 evaluated 45950 pairs
Thread 6 evaluated 44150 pairs
Thread 5 evaluated 47617 pairs
Thread 0 evaluated 51226 pairs
Thread 3 evaluated 84628 pairs
Thread 7 evaluated 53301 pairs
Thread 8 evaluated 88804 pairs
Thread 9 evaluated 49170 pairs
Thread 10 evaluated 40773 pairs
Thread 1 evaluated 42508 pairs
Thread 6 evaluated 44149 pairs
Thread 4 evaluated 45949 pairs
Thread 5 evaluated 47616 pairs
Thread 0 evaluated 51225 pairs
Thread 7 evaluated 53300 pairs
Thread 2 evaluated 96856 pairs
Thread 9 evaluated 49169 pairs
Thread 11 evaluated 92445 pairs
Thread 10 evaluated 40772 pairs
Thread 1 evaluated 42507 pairs
Thread 6 evaluated 44148 pairs
Thread 4 evaluated 45948 pairs
Thread 5 evaluated 47615 pairs
Thread 3 evaluated 84627 pairs
Thread 8 evaluated 88803 pairs
Thread 0 evaluated 51224 pairs
Thread 10 evaluated 40771 pairs
Thread 7 evaluated 53299 pairs
Thread 9 evaluated 49168 pairs
Thread 1 evaluated 42506 pairs
Thread 6 evaluated 44147 pairs
Thread 5 evaluated 47614 pairs
Thread 4 evaluated 45947 pairs
Thread 10 evaluated 40770 pairs
Thread 2 evaluated 96855 pairs
Thread 11 evaluated 92444 pairs
Thread 1 evaluated 42505 pairs
Thread 7 evaluated 53298 pairs
Thread 9 evaluated 49167 pairs
Thread 0 evaluated 51223 pairs
Thread 6 evaluated 44146 pairs
Thread 3 evaluated 84626 pairs
Thread 5 evaluated 47613 pairs
Thread 4 evaluated 45946 pairs
Thread 10 evaluated 40769 pairs
Thread 1 evaluated 42504 pairs
Thread 8 evaluated 88802 pairs
Thread 9 evaluated 49166 pairs
Thread 7 evaluated 53297 pairs
Thread 0 evaluated 51222 pairs
Thread 6 evaluated 44145 pairs
Thread 10 evaluated 40768 pairs
Thread 5 evaluated 47612 pairs
Thread 4 evaluated 45945 pairs
Thread 1 evaluated 42503 pairs
Thread 11 evaluated 92443 pairs
Thread 2 evaluated 96854 pairs
Thread 9 evaluated 49165 pairs
Thread 6 evaluated 44144 pairs
Thread 7 evaluated 53296 pairs
Thread 10 evaluated 40767 pairs
Thread 0 evaluated 51221 pairs
Thread 3 evaluated 84625 pairs
Thread 5 evaluated 47611 pairs
Thread 1 evaluated 42502 pairs
Thread 4 evaluated 45944 pairs
Thread 8 evaluated 88801 pairs
Thread 6 evaluated 44143 pairs
Thread 9 evaluated 49164 pairs
Thread 10 evaluated 40766 pairs
Thread 7 evaluated 53295 pairs
Thread 0 evaluated 51220 pairs
Thread 1 evaluated 42501 pairs
Thread 5 evaluated 47610 pairs
Thread 11 evaluated 92442 pairs
Thread 4 evaluated 45943 pairs
Thread 2 evaluated 96853 pairs
Thread 10 evaluated 40765 pairs
Thread 6 evaluated 44142 pairs
Thread 9 evaluated 49163 pairs
Thread 3 evaluated 84624 pairs
Thread 1 evaluated 42500 pairs
Thread 7 evaluated 53294 pairs
Thread 5 evaluated 47609 pairs
Thread 0 evaluated 51219 pairs
Thread 4 evaluated 45942 pairs
Thread 8 evaluated 88800 pairs
Thread 10 evaluated 40764 pairs
Thread 6 evaluated 44141 pairs
Thread 9 evaluated 49162 pairs
Thread 1 evaluated 42499 pairs
Thread 5 evaluated 47608 pairs
Thread 7 evaluated 53293 pairs
Thread 11 evaluated 92441 pairs
Thread 10 evaluated 40763 pairs
Thread 0 evaluated 51218 pairs
Thread 4 evaluated 45941 pairs
Thread 2 evaluated 96852 pairs
Thread 6 evaluated 44140 pairs
Thread 3 evaluated 84623 pairs
Thread 1 evaluated 42498 pairs
Thread 9 evaluated 49161 pairs
Thread 5 evaluated 47607 pairs
Thread 10 evaluated 40762 pairs
Thread 7 evaluated 53292 pairs
Thread 8 evaluated 88799 pairs
Thread 4 evaluated 45940 pairs
Thread 6 evaluated 44139 pairs
